Temperature,Humidity,BuildingArea,Occupants,ApplianceCount,IsWeekend,AC_Usage_Hours,ElectricityConsumption
25.11,73.08,1796.48,6,3,1,0.0,13.02
40.67,21.72,694.02,6,18,1,8.38,31.07
34.76,21.55,2079.48,8,6,1,5.19,25.66
31.16,42.65,1675.99,5,15,0,4.58,23.82
19.21,54.21,3176.19,3,4,1,0.0,15.79
19.21,73.93,2883.69,3,6,1,0.0,16.03
16.57,67.83,1894.83,6,17,0,0.0,18.31
38.39,51.21,1293.36,2,19,0,8.17,29.57
31.23,39.15,4450.95,6,18,0,2.99,32.67
34.12,89.8,2261.41,6,12,1,8.87,33.46
15.56,49.83,3221.92,8,18,0,0.0,24.15
41.19,51.6,976.27,7,17,1,4.51,25.93
37.48,31.45,2390.92,8,3,0,5.57,26.42
20.73,75.64,512.9,9,5,1,0.0,11.46
19.91,68.56,2472.37,6,8,0,0.0,15.99
19.95,35.45,4352.47,3,3,0,3.18,23.65
23.21,25.77,1975.25,3,7,0,2.48,17.08
29.17,67.63,559.88,1,18,0,4.12,18.53
26.66,65.82,526.92,5,8,1,2.55,13.53
22.86,39.13,1990.75,4,6,0,0.0,12.48
31.52,86.56,1056.1,9,6,0,2.87,17.93
18.77,30.57,495.74,9,17,0,1.27,16.4
22.89,50.26,3500.48,5,10,0,0.0,20.0
24.89,86.05,2279.94,4,6,0,0.0,14.01
27.31,49.38,1585.9,7,9,0,1.98,18.41
36.2,64.7,4090.34,6,10,1,5.12,33.23
20.39,47.83,876.17,4,6,0,0.4,10.35
28.88,39.2,4319.27,2,11,1,4.42,30.57
31.0,88.88,1687.26,1,3,1,4.94,19.31
16.25,48.65,4042.46,4,10,0,0.0,21.59
31.4,82.59,2872.07,4,12,0,6.19,28.16
19.6,36.1,3789.5,1,5,0,0.0,17.32
16.76,34.92,4434.45,6,3,1,0.0,22.2
40.62,22.18,1582.46,4,7,1,8.13,28.16
41.07,65.62,4340.66,1,15,0,4.54,33.7
36.83,45.8,1996.88,1,2,1,2.6,17.37
23.22,80.51,1980.6,1,19,0,0.0,16.93
17.64,53.12,1795.59,8,8,1,0.0,16.42
33.47,87.77,2619.77,8,2,1,6.0,27.16
26.88,32.99,1031.99,2,2,0,1.07,8.22
18.3,80.8,2670.22,7,2,0,0.0,15.0
28.37,74.36,2620.99,8,5,0,1.57,20.24
15.93,73.96,3523.8,8,5,0,0.88,20.74
39.55,79.13,3817.96,7,19,1,6.54,39.26
21.99,73.27,2205.81,5,12,0,0.3,16.69
32.89,63.84,1639.57,1,2,0,4.08,17.17
23.42,29.19,1463.27,9,11,0,3.72,22.03
29.04,22.28,1197.96,7,10,1,1.52,17.02
29.76,84.46,636.36,2,5,0,5.88,16.96
19.99,63.17,1804.04,6,7,0,0.42,14.17
41.18,75.76,1508.02,2,17,0,6.74,28.42
35.93,53.71,4362.31,1,3,1,10.31,36.9
40.37,28.21,2686.61,7,19,1,4.68,33.27
39.16,28.76,1823.84,2,11,0,5.68,24.96
31.14,67.99,2779.92,2,18,0,1.25,23.74
39.89,50.12,970.71,5,14,0,8.54,28.71
17.39,34.04,2220.58,5,19,0,2.51,22.58
20.29,54.41,2967.56,7,14,0,3.44,25.99
16.22,24.49,2404.48,1,18,1,1.19,19.67
23.78,60.74,2047.29,8,6,0,0.87,15.93
25.49,38.83,4474.78,3,12,1,1.1,25.37
22.33,75.83,4009.29,4,8,0,0.0,20.2
37.38,41.73,2955.96,9,11,0,9.86,37.64
24.63,51.87,2734.45,4,18,1,2.48,25.05
22.59,20.81,2944.71,5,16,0,0.0,20.51
29.65,25.07,1225.38,7,19,0,5.87,26.85
18.8,47.47,2020.06,4,3,0,0.0,12.29
36.66,53.6,561.78,1,5,0,6.37,17.95
